Com.Code,Item.Code,Item,Unit,Group,Moisture,P_content,Feedtype,Com.Group
c001,2805,Rice (Milled Equivalent),tonnes,Primary crops,0.14,0.002065,Feed crops,Cereals
c002,2511,Wheat and products,tonnes,Primary crops,0.14,0.000417,Feed crops,Cereals
c003,2513,Barley and products,tonnes,Primary crops,0.14,0.000246,Feed crops,Cereals
c004,2514,Maize and products,tonnes,Primary crops,0.14,0.0012,Feed crops,Cereals
c005,2515,Rye and products,tonnes,Primary crops,0.14,0.00325,Feed crops,Cereals
c006,2516,Oats,tonnes,Primary crops,0.14,0.00516,Feed crops,Cereals
c007,2517,Millet and products,tonnes,Primary crops,0.12,0.002981651,Feed crops,Cereals
c008,2518,Sorghum and products,tonnes,Primary crops,0.11,0.003698,Feed crops,Cereals
c009,2520,"Cereals, Other",tonnes,Primary crops,0.14,0.003698,Feed crops,Cereals
c010,2531,Potatoes and products,tonnes,Primary crops,0.78,0.00058,Feed crops,Roots and tubers
c011,2532,Cassava and products,tonnes,Primary crops,0.7,0.00034,Feed crops,Roots and tubers
c012,2533,Sweet potatoes,tonnes,Primary crops,0.7,0.00047,Feed crops,Roots and tubers
c013,2534,"Roots, Other",tonnes,Primary crops,0.75,0.00055,Feed crops,Roots and tubers
c014,2535,Yams,tonnes,Primary crops,0.74,0.00055,Feed crops,Roots and tubers
c015,2536,Sugar cane,tonnes,Primary crops,0.825,0,Feed crops,Sugar crops
c016,2537,Sugar beet,tonnes,Primary crops,0.77,0,Feed crops,Sugar crops
c017,2546,Beans,tonnes,Primary crops,0.8,0.002182,Feed crops,"Vegetables, fruit, nuts, pulses, spices"
c018,2547,Peas,tonnes,Primary crops,0.83,0.00074,Feed crops,"Vegetables, fruit, nuts, pulses, spices"
c019,2549,"Pulses, Other and products",tonnes,Primary crops,0.1,0.002565,Feed crops,"Vegetables, fruit, nuts, pulses, spices"
c020,2551,Nuts and products,tonnes,Primary crops,0,0.00401,Feed crops,"Vegetables, fruit, nuts, pulses, spices"
c021,2555,Soyabeans,tonnes,Primary crops,0.1,0.0065,Feed crops,Oil crops
c022,2556,Groundnuts (Shelled Eq),tonnes,Primary crops,0.06,0.00401,Feed crops,Oil crops
c023,2557,Sunflower seed,tonnes,Primary crops,0.07,0.0066,Feed crops,Oil crops
c024,2558,Rape and Mustardseed,tonnes,Primary crops,0.12,0.00798,Feed crops,Oil crops
c025,328,Seed cotton,tonnes,Primary crops,0,0.00629,Feed crops,Oil crops
c026,2560,Coconuts - Incl Copra,tonnes,Primary crops,0.4,0.00206,Feed crops,Oil crops
c027,2561,Sesame seed,tonnes,Primary crops,0.06,0.00629,Feed crops,Oil crops
c028,254,"Oil, palm fruit",tonnes,Primary crops,0,0,Feed crops,Oil crops
c029,2563,Olives (including preserved),tonnes,Primary crops,0,0.00005,Feed crops,Oil crops
c030,2570,"Oilcrops, Other",tonnes,Primary crops,0.1,0.0065,Feed crops,Oil crops
c031,2601,Tomatoes and products,tonnes,Primary crops,0.94,0.00024,Feed crops,"Vegetables, fruit, nuts, pulses, spices"
c032,2602,Onions,tonnes,Primary crops,0.89,0.00038,Feed crops,"Vegetables, fruit, nuts, pulses, spices"
